t	u (m/s)	v (m/s)	Tair (°C)	Fsol (W/m2)	vap (mbar)	cloud coverage
16078.208599	0.568013	0.233945	4.400000	0.000000	7.403831	0.484108
16078.250268	-1.000423	0.473525	4.696147	0.000000	8.096147	0.474941
16078.291936	0.232579	0.658907	5.292249	1.000000	8.100000	0.465774
16078.333604	0.692389	1.521582	6.072718	47.636907	8.303897	0.456607
16078.375272	-0.510049	0.342505	6.992161	140.863333	8.696080	0.447440
16078.416940	-0.085059	0.681492	8.419708	267.989740	8.307883	0.438273
16078.458609	-0.466550	-0.656697	10.007928	303.454106	8.992072	0.429106
16078.500277	-0.731876	-0.317570	9.507972	178.880421	8.711958	0.419939
16078.541945	-0.200582	-0.453137	10.000000	137.879756	8.908016	0.410772
16078.583613	-0.334164	0.617684	9.804030	139.725448	8.912091	0.401605
16078.625281	0.109634	0.054353	9.259476	47.837904	8.895948	0.392438
16078.666950	0.105488	0.383707	7.216298	1.918509	8.904075	0.383271
16078.708618	-0.573654	0.679002	6.663130	0.000000	8.791807	0.374104
16078.750286	1.207682	0.643222	5.141188	0.000000	8.208238	0.364937
16078.791954	0.479978	0.641209	4.920705	0.000000	8.100000	0.355770
16078.833622	0.383959	-0.608943	5.108326	0.000000	8.104163	0.346603
16078.875291	0.603251	1.026872	4.487444	0.000000	7.991629	0.337436
16078.916959	0.120825	0.152348	3.608415	0.000000	7.604207	0.328269
16078.958627	1.125627	1.079233	3.308459	0.000000	7.600000	0.319102
16079.000295	0.004725	0.606369	3.104252	0.000000	7.500000	0.310204
16079.041963	-0.065891	0.302013	2.578631	0.000000	7.291452	0.338955
16079.083632	0.473173	0.752483	2.169928	0.000000	7.087112	0.367706
16079.125300	0.040644	0.306471	1.812954	0.000000	6.900000	0.396457
16079.166968	0.320734	1.342673	2.456597	0.000000	7.082639	0.425208
16079.208636	-0.222404	0.447813	1.691275	0.000000	6.891275	0.453959
16079.250304	0.317605	0.835425	1.213154	0.000000	6.695615	0.482710
16079.291973	-0.826981	0.562230	0.886780	0.044067	6.400000	0.511461
16079.333641	-1.267104	-0.203941	1.057575	61.151504	6.517715	0.540212
16079.375309	0.125086	0.470041	3.413353	117.445101	7.504451	0.568963
16079.416977	-0.468666	0.174218	6.313419	265.939362	8.200000	0.597714
16079.458646	-0.782906	-0.223912	8.517981	232.202694	8.204495	0.626465
16079.500314	-1.428255	0.319753	8.513552	247.749474	8.404517	0.655216
16079.541982	-0.771524	-0.881896	9.613619	179.630375	8.404540	0.683968
16079.583650	-1.508801	-0.014416	9.613685	271.631482	8.495438	0.712719
16079.625318	-1.362266	0.155066	8.527503	57.991548	8.490832	0.741470
16079.666987	-0.803735	0.767189	7.681576	2.907880	8.304606	0.770221
16079.708655	0.144512	0.655565	7.509256	0.000000	8.300000	0.798972
16079.750323	-0.674445	0.899202	6.986049	0.000000	8.300000	0.827723
16079.791991	0.598567	-0.676333	7.390655	0.000000	8.204672	0.856474
16079.833659	-1.281817	-0.103575	6.223473	0.000000	8.395305	0.885225
16079.875328	-1.032743	-0.005101	7.290567	0.000000	8.404717	0.913976
16079.916996	2.434463	4.868671	11.404739	0.000000	8.495261	0.942727
16079.958664	3.528384	0.997491	11.580956	0.000000	8.100000	0.971478
16080.000332	5.645286	4.123181	11.319133	0.000000	7.890434	0.999970
16080.042000	0.216919	-7.239570	7.280779	0.000000	8.500000	0.996220
16080.083669	1.060529	1.684583	6.304827	0.000000	8.390345	0.992470
16080.125337	0.297368	-2.094145	6.100000	0.000000	8.095150	0.988720
16080.167005	0.554563	-0.256741	5.385385	0.000000	8.104872	0.984970
16080.208673	-0.999293	-0.559996	4.795106	0.000000	8.009788	0.981219
16080.250341	0.920001	-0.623030	4.295084	0.000000	7.700000	0.977469
16080.292010	-0.963457	-0.267862	4.095062	0.000000	7.404938	0.973719
16080.333678	-1.801504	-0.439933	3.895040	4.049603	7.404960	0.969969
16080.375346	1.128888	0.305643	4.400000	9.597896	7.704982	0.966219
16080.417014	-0.883444	0.047460	4.510009	26.300277	7.989991	0.962469
16080.458682	0.174381	-0.336629	5.015080	89.251338	7.805027	0.958719
16080.500351	-0.371754	0.158967	5.589902	122.899022	8.089902	0.954968
16080.542019	0.675709	0.428124	5.810142	125.442185	8.010142	0.951218
16080.583687	0.274597	-0.757309	5.900000	86.337885	8.000000	0.947468
16080.625355	-0.598043	0.094270	5.694885	43.409227	8.100000	0.943718
16080.667023	-0.674113	-0.738628	5.294863	7.691751	7.905137	0.939968
16080.708692	-0.473841	-0.140623	4.579362	0.000000	7.989681	0.936218
16080.750360	-0.257212	0.199818	3.279273	0.000000	7.589636	0.932468
16080.792028	0.270064	-0.530416	3.279184	0.000000	7.389592	0.928717
16080.833696	0.909151	0.391439	3.805226	0.000000	7.694774	0.924967
16080.875364	1.182094	1.185347	3.694752	0.000000	7.600000	0.921217
16080.917033	-0.767281	-0.096682	3.794730	1.000000	7.600000	0.917467
16080.958701	0.975710	0.552750	3.694708	0.000000	7.694708	0.913717
16081.000369	0.597626	0.643973	3.305315	1.000000	7.600000	0.910033
16081.042037	0.628064	0.511508	3.200000	1.000000	7.594663	0.913783
16081.083705	0.381226	1.048417	3.200000	1.000000	7.600000	0.917533
16081.125374	0.442323	0.543087	3.189238	1.000000	7.494619	0.921284
16081.167042	0.223737	0.199181	3.500000	1.000000	7.600000	0.925034
16081.208710	0.670820	-0.704616	3.300000	0.054254	7.600000	0.928784
