t	z_ga	ga1
33025	0.244266	0.244266
33026	0.245730	0.245730
33027	0.247193	0.247193
33028	0.248657	0.248657
33029	0.250121	0.250121
33030	0.251584	0.251584
33031	0.253048	0.253048
33032	0.254511	0.254511
33033	0.255975	0.255975
33034	0.257438	0.257438
33035	0.258902	0.258902
33036	0.260365	0.260365
33037	0.261829	0.261829
33038	0.263292	0.263292
33039	0.264756	0.264756
33040	0.265732	0.265732
33041	0.266709	0.266709
33042	0.267685	0.267685
33043	0.268662	0.268662
33044	0.269638	0.269638
33045	0.270615	0.270615
33046	0.271591	0.271591
33047	0.272568	0.272568
33048	0.273544	0.273544
33049	0.274521	0.274521
33050	0.275497	0.275497
33051	0.276474	0.276474
33052	0.277450	0.277450
33053	0.278427	0.278427
33054	0.279403	0.279403
33055	0.280380	0.280380
33056	0.281356	0.281356
33057	0.282333	0.282333
33058	0.283309	0.283309
33059	0.284286	0.284286
33060	0.285262	0.285262
33061	0.286239	0.286239
33062	0.287215	0.287215
33063	0.288192	0.288192
33064	0.289168	0.289168
33065	0.290145	0.290145
33066	0.291121	0.291121
33067	0.292098	0.292098
33068	0.293074	0.293074
33069	0.291099	0.291099
33070	0.289124	0.289124
33071	0.287149	0.287149
33072	0.285173	0.285173
33073	0.283198	0.283198
33074	0.281223	0.281223
33075	0.279248	0.279248
33076	0.277273	0.277273
33077	0.275297	0.275297
33078	0.273322	0.273322
33079	0.271347	0.271347
33080	0.269372	0.269372
33081	0.267397	0.267397
33082	0.265422	0.265422
33083	0.263447	0.263447
33084	0.261471	0.261471
33085	0.259496	0.259496
33086	0.257521	0.257521
33087	0.255546	0.255546
33088	0.253571	0.253571
33089	0.251596	0.251596
33090	0.249620	0.249620
33091	0.247645	0.247645
33092	0.245670	0.245670
33093	0.243695	0.243695
33094	0.241720	0.241720
33095	0.239745	0.239745
33096	0.237769	0.237769
33097	0.235794	0.235794
33098	0.233819	0.233819
33099	0.233049	0.233049
33100	0.232278	0.232278
33101	0.231508	0.231508
33102	0.230738	0.230738
33103	0.229967	0.229967
33104	0.229197	0.229197
33105	0.228426	0.228426
