t	z_ga	ga1
38968	0.353818	0.353818
38969	0.352972	0.352972
38970	0.352131	0.352131
38971	0.351294	0.351294
38972	0.350461	0.350461
38973	0.349632	0.349632
38974	0.348807	0.348807
38975	0.347985	0.347985
38976	0.347168	0.347168
38977	0.346354	0.346354
38978	0.345544	0.345544
38979	0.344738	0.344738
38980	0.343936	0.343936
38981	0.343137	0.343137
38982	0.342342	0.342342
38983	0.341551	0.341551
38984	0.340764	0.340764
38985	0.339980	0.339980
38986	0.339199	0.339199
38987	0.338422	0.338422
38988	0.337649	0.337649
38989	0.336879	0.336879
38990	0.336113	0.336113
38991	0.335350	0.335350
38992	0.334591	0.334591
38993	0.333835	0.333835
38994	0.333083	0.333083
38995	0.332334	0.332334
38996	0.331588	0.331588
38997	0.330846	0.330846
38998	0.330107	0.330107
38999	0.329371	0.329371
39000	0.328638	0.328638
39001	0.327909	0.327909
39002	0.327183	0.327183
39003	0.326460	0.326460
39004	0.325741	0.325741
39005	0.325024	0.325024
39006	0.324311	0.324311
39007	0.323601	0.323601
39008	0.322894	0.322894
39009	0.322190	0.322190
39010	0.321489	0.321489
39011	0.320791	0.320791
39012	0.320096	0.320096
39013	0.319404	0.319404
39014	0.318716	0.318716
39015	0.318030	0.318030
39016	0.317347	0.317347
39017	0.316667	0.316667
39018	0.314570	0.314570
39019	0.312500	0.312500
39020	0.310458	0.310458
39021	0.308442	0.308442
39022	0.306452	0.306452
39023	0.304487	0.304487
39024	0.302548	0.302548
39025	0.300633	0.300633
39026	0.298742	0.298742
39027	0.296875	0.296875
39028	0.295031	0.295031
39029	0.293210	0.293210
39030	0.291411	0.291411
39031	0.289634	0.289634
39032	0.287879	0.287879
39033	0.286145	0.286145
39034	0.284431	0.284431
39035	0.282738	0.282738
39036	0.281065	0.281065
39037	0.279412	0.279412
39038	0.274676	0.274676
39039	0.270098	0.270098
39040	0.265670	0.265670
39041	0.261385	0.261385
39042	0.257236	0.257236
39043	0.253217	0.253217
39044	0.249321	0.249321
39045	0.245544	0.245544
39046	0.241879	0.241879
39047	0.238322	0.238322
39048	0.234868	0.234868
39049	0.231513	0.231513
39050	0.228252	0.228252
39051	0.225082	0.225082
39052	0.221998	0.221998
39053	0.218998	0.218998
39054	0.216078	0.216078
39055	0.213235	0.213235
39056	0.210466	0.210466
39057	0.207768	0.207768
39058	0.205138	0.205138
39059	0.202574	0.202574
39060	0.200073	0.200073
39061	0.197633	0.197633
39062	0.195252	0.195252
39063	0.192927	0.192927
39064	0.190657	0.190657
39065	0.188440	0.188440
39066	0.186275	0.186275
39067	0.186667	0.186667
39068	0.187060	0.187060
39069	0.187456	0.187456
39070	0.187853	0.187853
39071	0.188252	0.188252
39072	0.188652	0.188652
39073	0.189055	0.189055
39074	0.189459	0.189459
39075	0.189864	0.189864
39076	0.190272	0.190272
39077	0.190681	0.190681
39078	0.191092	0.191092
39079	0.191505	0.191505
39080	0.191919	0.191919
39081	0.192336	0.192336
39082	0.192754	0.192754
39083	0.193174	0.193174
39084	0.193595	0.193595
39085	0.194019	0.194019
39086	0.194444	0.194444
39087	0.194872	0.194872
39088	0.195301	0.195301
39089	0.195732	0.195732
39090	0.196165	0.196165
39091	0.196600	0.196600
39092	0.197037	0.197037
39093	0.197476	0.197476
39094	0.197917	0.197917
39095	0.197095	0.197095
39096	0.196281	0.196281
39097	0.195473	0.195473
39098	0.194672	0.194672
39099	0.193878	0.193878
39100	0.193089	0.193089
39101	0.192308	0.192308
39102	0.191532	0.191532
39103	0.190763	0.190763
39104	0.190000	0.190000
39105	0.189243	0.189243
39106	0.188492	0.188492
39107	0.187747	0.187747
39108	0.187008	0.187008
39109	0.186275	0.186275
39110	0.185547	0.185547
39111	0.184825	0.184825
39112	0.184109	0.184109
39113	0.183398	0.183398
39114	0.182692	0.182692
39115	0.181992	0.181992
39116	0.181298	0.181298
39117	0.180608	0.180608
39118	0.179924	0.179924
39119	0.179245	0.179245
39120	0.178571	0.178571
39121	0.177903	0.177903
39122	0.177239	0.177239
39123	0.176580	0.176580
39124	0.175926	0.175926
39125	0.175277	0.175277
39126	0.174632	0.174632
39127	0.173993	0.173993
39128	0.173358	0.173358
39129	0.172727	0.172727
39130	0.175625	0.175625
39131	0.178621	0.178621
39132	0.181722	0.181722
39133	0.184932	0.184932
39134	0.188257	0.188257
39135	0.191704	0.191704
39136	0.195280	0.195280
39137	0.198991	0.198991
39138	0.202847	0.202847
39139	0.206855	0.206855
39140	0.211024	0.211024
39141	0.215365	0.215365
39142	0.219889	0.219889
39143	0.224606	0.224606
39144	0.229530	0.229530
39145	0.234675	0.234675
39146	0.240056	0.240056
39147	0.245690	0.245690
39148	0.251594	0.251594
39149	0.257789	0.257789
39150	0.264297	0.264297
39151	0.271142	0.271142
